,,high,neutral,low,average
ADAM20,ENSG00000134007.3,3.0,84.0,35.0,-0.08028688524590165
ADAM20P1,ENSG00000259158.1,3.0,84.0,35.0,-0.08028688524590165
ADAM21,ENSG00000139985.5,3.0,84.0,35.0,-0.08028688524590165
ADAM21P1,ENSG00000235812.4,3.0,84.0,35.0,-0.08028688524590165
ADAM22,ENSG00000008277.10,23.0,91.0,8.0,0.13493442622950816
ADAM23,ENSG00000114948.8,7.0,97.0,18.0,-0.015459016393442625
ADAM28,ENSG00000042980.8,14.0,48.0,60.0,-0.14544262295081967
ADAM29,ENSG00000168594.11,6.0,92.0,24.0,-0.059991803278688534
ADAM30,ENSG00000134249.6,21.0,86.0,15.0,0.11054098360655734
ADAM32,ENSG00000197140.10,40.0,55.0,27.0,0.3839180327868854
ADAM33,ENSG00000149451.13,22.0,91.0,9.0,0.08239344262295083
ADAM3A,ENSG00000197475.7,39.0,60.0,23.0,0.3553360655737707
ADAM5,ENSG00000196115.8,39.0,60.0,23.0,0.3553360655737707
ADAM6,ENSG00000233988.1,9.0,85.0,28.0,-0.03604098360655738
ADAM7,ENSG00000069206.11,13.0,49.0,60.0,-0.15501639344262289
ADAM8,ENSG00000151651.11,5.0,95.0,22.0,-0.035729508196721306
ADAM9,ENSG00000168615.7,35.0,60.0,27.0,0.3267950819672133
ADAMDEC1,ENSG00000134028.10,13.0,49.0,60.0,-0.14428688524590164
ADAMTS1,ENSG00000154734.9,9.0,93.0,20.0,-0.0037950819672131035
ADAMTS10,ENSG00000142303.9,8.0,79.0,35.0,-0.0468032786885246
ADAMTS12,ENSG00000151388.6,26.0,88.0,8.0,0.1413278688524589
ADAMTS13,ENSG00000160323.14,5.0,94.0,23.0,-0.06618852459016389
ADAMTS14,ENSG00000138316.6,10.0,91.0,21.0,0.007016393442622951
ADAMTS15,ENSG00000166106.2,3.0,72.0,47.0,-0.14211475409836066
ADAMTS16,ENSG00000145536.11,28.0,89.0,5.0,0.19123770491803269
ADAMTS17,ENSG00000140470.9,13.0,92.0,17.0,0.003221311475409835
ADAMTS18,ENSG00000140873.11,5.0,57.0,60.0,-0.19633606557377045
ADAMTS19,ENSG00000145808.4,8.0,93.0,21.0,0.0035163934426229505
